cluster,Geektime,IsraelHayom,BooksNLI2,Wikipedia,Tzenzura,Tweets,Oscar,Yifat_2_3,Yifat_2_4,Yifat_3_5,FineWeb2,AllHebNLI,YifatCombine,Dicta
0," 76,732 "," 2,672 ", 104 , 128 , 902 , 241 ," 5,048 ", 90 , 165 , 24 ," 1,448 ",, 47 , 131 
1," 43,790 ", 457 ,, 212 , 200 , 190 , 284 , 33 , 28 , 15 , 206 ,, 39 , 18 
2," 22,318 ", 236 ,," 2,374 ", 576 , 344 ," 1,442 ", 241 , 256 , 614 , 676 ,, 95 , 67 
3," 11,812 ",, 52 ,,, 121 ,,, 13 , 8 ,,, 43 ,
4," 105,222 "," 277,325 "," 264,598 "," 241,464 "," 312,121 "," 264,340 "," 157,379 "," 157,157 "," 198,308 "," 114,118 "," 52,524 ",," 40,569 "," 4,734 "
5," 9,005 ", 54 ,,,, 18 , 3 , 12 , 41 ,, 16 ,, 4 ,
6," 36,121 "," 4,256 ", 219 , 822 ," 1,186 ", 22 , 795 , 186 , 169 , 48 , 130 ,, 7 , 48 
," 305,000 "," 285,000 "," 264,973 "," 245,000 "," 314,985 "," 265,276 "," 164,951 "," 157,719 "," 198,980 "," 114,827 "," 55,000 ", -   ," 40,804 "," 4,998 "
,,,,,,,,,,,,,,
